Date,Open,High,Low,Close,Volume
2018/1/1 3:38,13510,13525,13510,13510,1.20126156
2018/1/1 3:39,13525,13525,13508.87735,13525,2.6490839
2018/1/1 3:40,13524.1,13524.1,13508.87735,13520,0.52590905
2018/1/1 3:41,13508.87735,13550,13508.87735,13550,1.68278874
2018/1/1 3:42,13528,13550,13528,13550,0.96189697
2018/1/1 3:43,13559,13570.9999,13538.89789,13538.89789,2.92129891
2018/1/1 3:44,13538.89789,13550,13521.92816,13521.92816,4.76810016
2018/1/1 3:45,13521.92816,13550,13497.00055,13505,3.89460767
2018/1/1 3:46,13540.79794,13540.79794,13506.00055,13534.13877,1.90572739
2018/1/1 3:47,13534.13877,13554.57262,13534.13877,13554.57262,0.5978258
2018/1/1 3:48,13553,13562.3386,13521.92815,13562.3386,0.86702856
2018/1/1 3:49,13555.23121,13562.3386,13550.23121,13550.23121,0.57185047
2018/1/1 3:50,13555.15986,13555.15986,13534.2367,13534.2367,0.4076401
2018/1/1 3:51,13534.2367,13548.44885,13525,13526.89045,2.7790071
2018/1/1 3:52,13526.89045,13562.53353,13526.89045,13526.89045,0.95281644
2018/1/1 3:53,13526.89045,13567,13526.89045,13566.48673,1.69876313
2018/1/1 3:54,13566.48673,13585.04544,13565,13585.04544,0.49208635
2018/1/1 3:55,13585,13600.92815,13585,13589,3.8700278
2018/1/1 3:56,13600.92815,13600.92815,13589,13600.92815,1.36867994
2018/1/1 3:57,13600,13600,13589,13589,2.19822765
2018/1/1 3:58,13589,13590,13581,13590,0.29218304
2018/1/1 3:59,13588,13589,13570.9717,13570.9717,0.73211797
2018/1/1 4:00,13577,13589,13570.9717,13573.67594,0.20192807
2018/1/1 4:01,13589,13591,13577.1,13589,0.43916094
2018/1/1 4:02,13591,13600,13570.9717,13581.35235,3.75929486
2018/1/1 4:03,13580.43339,13580.43339,13570.9717,13570.9717,10.30911036
2018/1/1 4:04,13567.78375,13567.78375,13525.35235,13525.35235,0.07371058
2018/1/1 4:05,13567.78375,13567.78375,13525.35235,13525.35235,0.62340668
2018/1/1 4:06,13567.64808,13571.43339,13567.64808,13567.78375,1.23652086
2018/1/1 4:07,13525.35235,13570.43339,13525.35235,13560.17026,1.68366429
2018/1/1 4:08,13525.35235,13560.17026,13525.35235,13560.17026,0.04625325
2018/1/1 4:09,13573.38419,13573.38419,13560.17026,13560.17026,0.87340214
2018/1/1 4:10,13560.17026,13560.17026,13531.22701,13552.03873,2.3151691
2018/1/1 4:11,13538.04347,13538.04347,13525.35235,13531.26718,1.85638315
2018/1/1 4:12,13531.26718,13545.23881,13525.35235,13545.23881,0.87239433
2018/1/1 4:13,13509.14744,13537.69641,13509.14744,13509.14744,2.91001341
2018/1/1 4:14,13509.14744,13537.25827,13505.004,13509.14744,1.62889512
2018/1/1 4:15,13509.0847,13509.0847,13485.35235,13487.53655,1.67983148
2018/1/1 4:16,13485.35235,13494.18762,13440,13494.18762,15.34235322
2018/1/1 4:17,13490,13501.22641,13490,13501.22641,0.26040526
2018/1/1 4:18,13490,13511,13490,13511,0.54547989
2018/1/1 4:19,13501.22641,13537.25827,13501.22641,13537.25827,0.15292157
2018/1/1 4:20,13537.25827,13537.25827,13501.22641,13501.22641,0.08999851
2018/1/1 4:21,13529.46712,13529.46712,13501.22641,13529.46712,0.74477395
2018/1/1 4:22,13529.46712,13529.46712,13491.25827,13494,1.65675685
2018/1/1 4:23,13494,13520.2365,13491.25827,13505.48438,0.6813949
2018/1/1 4:24,13494,13494,13450,13452,4.2541335
2018/1/1 4:25,13489,13489,13460.20862,13485,1.05336155
2018/1/1 4:26,13487,13487,13472.65564,13487,1.05214487
2018/1/1 4:27,13487,13537.25827,13472.65564,13537.25827,4.3075529
2018/1/1 4:28,13495.84869,13535.32995,13495.84869,13497,0.80791244
2018/1/1 4:29,13537.25827,13537.25827,13537.25827,13537.25827,0.09624339
2018/1/1 4:30,13515.84869,13515.84869,13503.43339,13503.43339,2.12886897
2018/1/1 4:31,13515.84869,13527.82074,13497,13497,0.61659102
2018/1/1 4:32,13527.43339,13527.43339,13476.43339,13500,7.52254149
2018/1/1 4:33,13526,13537.25827,13500,13502.43339,2.1529479
2018/1/1 4:34,13537.25827,13537.25827,13502.43339,13502.43339,1.69154465
2018/1/1 4:35,13526,13533,13502.43339,13502.43339,1.13392556
2018/1/1 4:36,13529.9,13530,13486.99997,13486.99997,1.89211843
2018/1/1 4:37,13528,13528,13482.43339,13505,10.58314516
2018/1/1 4:38,13523,13557.6737,13485.43339,13500,7.44542814
2018/1/1 4:39,13537.25827,13537.25827,13500.73214,13537.25827,0.59193074
2018/1/1 4:40,13537.25827,13537.25827,13507.25827,13537.25827,3.60888702
2018/1/1 4:41,13537.25827,13559,13537.25827,13559,0.74776639
2018/1/1 4:42,13559,13559,13555,13555,0.62105004
2018/1/1 4:43,13559,13587.4147,13555,13587.4147,0.83059127
2018/1/1 4:44,13587.41469,13587.41469,13555,13559,1.072754
2018/1/1 4:45,13559,13560.17591,13545,13560.17591,0.87326748
2018/1/1 4:46,13560.17591,13572,13542.2,13560.17591,1.09307362
2018/1/1 4:47,13559,13559,13545,13545,1.2851318
2018/1/1 4:48,13542.2,13545,13508,13508,1.00280311
2018/1/1 4:49,13529,13529,13515,13529,0.43662325
2018/1/1 4:50,13529,13529,13508,13508,4.18549268
2018/1/1 4:51,13508,13550,13508,13550,5.60032983
2018/1/1 4:52,13550,13550,13527.25827,13527.25827,0.84943007
2018/1/1 4:53,13550,13550,13527.5,13549,4.10455605
2018/1/1 4:54,13549,13549,13531.51363,13549,1.79345908
2018/1/1 4:55,13545,13548,13531.51363,13531.51363,0.64017628
2018/1/1 4:56,13532,13548,13532,13548,1.2549162
2018/1/1 4:57,13548,13548,13533,13548,1.6442805
2018/1/1 4:58,13548,13589.1755,13548,13577.73214,3.67327101
2018/1/1 4:59,13534,13577.73214,13534,13577.73214,0.05288941
2018/1/1 5:00,13559,13577.73214,13536,13550,5.22439895
2018/1/1 5:01,13550,13568,13520,13520,1.06982717
2018/1/1 5:02,13519,13520,13512,13512,4.63020107
2018/1/1 5:03,13520,13533.73214,13471.0002,13471.0002,5.63016773
2018/1/1 5:04,13506.0543,13506.0543,13440,13440,4.04297009
2018/1/1 5:05,13439.76386,13439.76386,13331.51358,13350,9.67423484
2018/1/1 5:06,13350,13350,13275,13283.07337,8.25175734
2018/1/1 5:07,13283.07337,13309.39862,13260,13309.39862,6.70497816
2018/1/1 5:08,13299.3,13345.74792,13262.58546,13262.58546,1.32381966
2018/1/1 5:09,13298.74792,13299.5107,13258,13299.5107,3.66387285
2018/1/1 5:10,13299.5107,13299.5107,13206.93004,13206.93004,8.47405391
2018/1/1 5:11,13206.93004,13230,13150,13158.11949,12.77064965
2018/1/1 5:12,13150.00002,13185,13150,13184.1195,14.27231021
2018/1/1 5:13,13184,13212.98594,13158,13158,3.6235893
2018/1/1 5:14,13212.98594,13223.79,13164,13212.98594,5.38809683
2018/1/1 5:15,13212.98594,13244,13196.98594,13200,5.02008286
2018/1/1 5:16,13226.75961,13226.75961,13177.78,13177.78,7.68437598
2018/1/1 5:17,13177.78,13226.75961,13172,13198.41689,12.49862793
2018/1/1 5:18,13172,13198.41689,13137.25827,13142,8.24261524
2018/1/1 5:19,13137.25827,13142,13112.69838,13114.08985,7.43413926
2018/1/1 5:20,13113,13150,13101.85819,13150,8.58645227
2018/1/1 5:21,13150,13172,13150,13150,0.56011233
2018/1/1 5:22,13155,13188.14924,13138.4768,13172,4.14742117
2018/1/1 5:23,13167,13188.14924,13139,13172,4.72746513
2018/1/1 5:24,13155,13172,13138.4768,13160,1.85406762
2018/1/1 5:25,13160,13194.77177,13138.4768,13194.77177,5.28931615
2018/1/1 5:26,13194.3353,13194.77177,13152.84501,13152.84501,2.06957227
2018/1/1 5:27,13152.84501,13194,13148.65707,13148.65707,11.40041749
2018/1/1 5:28,13152.84501,13152.84501,13138.4768,13138.4768,10.6942586
2018/1/1 5:29,13139.84,13139.84,13100,13100,4.30701147
2018/1/1 5:30,13101.85819,13101.85819,13036.92815,13047.77177,10.33129399
2018/1/1 5:31,13061.36468,13100,13053.07947,13070,20.88437317
2018/1/1 5:32,13100,13139.3,13071,13105.58814,10.51628115
2018/1/1 5:33,13138,13150,13105.58814,13150,9.11406364
2018/1/1 5:34,13150,13161,13114.84488,13133.72559,6.18433918
2018/1/1 5:35,13142.89755,13160,13116.52177,13151,4.28517573
2018/1/1 5:36,13151,13160,13129.52177,13150,3.1729415
2018/1/1 5:37,13149,13191.03071,13149,13150.04,14.65599484
2018/1/1 5:38,13150.04,13190.30132,13150.04,13190.30132,3.19225363
2018/1/1 5:39,13161,13190.30132,13161,13183.27607,4.8411439
2018/1/1 5:40,13183.27607,13189,13162.14747,13162.14747,8.6034188
2018/1/1 5:41,13177,13177,13150,13176,2.2123312
2018/1/1 5:42,13174.9,13174.9,13150,13173,7.16180742
2018/1/1 5:43,13173,13175,13124.02177,13149.46366,4.53893857
2018/1/1 5:44,13149.46366,13149.46366,13072.27177,13122.93006,7.38085939
2018/1/1 5:45,13122.93006,13146.98914,13109.07043,13145,1.09852696
2018/1/1 5:46,13145,13145,13109.07043,13140,1.95137052
2018/1/1 5:47,13140,13170,13113.07043,13140,8.18722578
2018/1/1 5:48,13170,13170,13113.07043,13163,1.47266451
2018/1/1 5:49,13162,13171,13162,13171,2.18807397
2018/1/1 5:50,13171,13172,13163,13172,2.70830494
2018/1/1 5:51,13172,13238.07043,13170,13238.07043,8.56591397
2018/1/1 5:52,13175,13238.07043,13175,13176,2.89585711
2018/1/1 5:53,13215.45227,13231.85446,13215.45227,13231.85446,3.84201782
2018/1/1 5:54,13219,13240.37266,13219,13234.60216,5.78583851
2018/1/1 5:55,13234.60216,13244,13200,13200,10.78807616
2018/1/1 5:56,13200,13232.20362,13173,13174,2.10220692
2018/1/1 5:57,13221,13227.20362,13175,13210,1.11097111
2018/1/1 5:58,13210,13227.20362,13181,13227.20362,0.64742704
2018/1/1 5:59,13227.20362,13233.20362,13227.20362,13233.20362,0.65197433
2018/1/1 6:00,13245.0024,13250.00001,13232.20362,13250.00001,1.968923
2018/1/1 6:01,13250.00001,13260.72792,13250.00001,13254.17245,1.62540842
2018/1/1 6:02,13254.17245,13261,13254.17245,13255.00002,0.83969707
2018/1/1 6:03,13255.00002,13268.32881,13255.00002,13268.32881,0.49000205
2018/1/1 6:04,13261,13268.32881,13255,13255,0.33586868
2018/1/1 6:05,13254,13257.00002,13248,13257.00002,1.08494913
2018/1/1 6:06,13256.23075,13259.47481,13255,13259.46398,0.4410125
2018/1/1 6:07,13256.3,13268.32399,13255,13255,2.43845832
